frame,draw_calls,triangles,vertices,rasterized_pixels,fragments,texture_samples,input_triangles,clipped_triangles,clip_discarded_triangles,clip_output_triangles,culled_triangles,raster_input_triangles,degenerate_triangles,vertex_ms,primitive_ms,clip_ms,perspective_division_ms,cull_ms,screen_mapping_ms,raster_ms,perspective_recover_ms,fragment_ms
0,1,12,36,124002,124002,496008,12,0,0,12,0,12,0,0.211600,28.346200,0.119200,0.001500,0.000000,0.001000,27.159200,1.037400,70.377600
1,3,302,906,289809,289809,1159236,302,0,0,302,0,302,0,2.206500,84.698900,2.355500,0.001500,0.000000,0.020900,80.611000,1.561400,208.856200
2,3,302,906,289745,289745,1158980,302,0,0,302,0,302,0,1.971600,83.700300,2.524100,0.001300,0.000000,0.023300,79.698800,1.308400,178.322300
3,3,302,906,289745,289745,1158980,302,0,0,302,0,302,0,1.293900,71.048500,1.467200,0.001200,0.000000,0.018100,68.257200,1.196400,143.107300
4,3,302,906,289787,289787,1159148,302,0,0,302,0,302,0,1.211700,62.821000,1.448100,0.000800,0.000000,0.017100,60.505200,0.779600,130.508400
5,3,302,906,289798,289798,1159192,302,0,0,302,0,302,0,1.289100,63.824200,1.526500,0.000900,0.000000,0.018300,61.209400,0.994900,138.052200
6,3,302,906,289809,289809,1159236,302,0,0,302,0,302,0,1.239500,62.589700,1.444200,0.001100,0.000000,0.017200,60.321900,0.733200,131.048100
7,3,302,906,289798,289798,1159192,302,0,0,302,0,302,0,1.315700,61.783500,1.554100,0.000800,0.000000,0.018200,59.438700,0.699600,134.348000
8,3,302,906,289809,289809,1159236,302,0,0,302,0,302,0,1.216900,61.058300,1.436700,0.000900,0.000000,0.017200,58.782900,0.748900,130.137800
9,3,302,906,289798,289798,1159192,302,0,0,302,0,302,0,1.146000,60.940100,1.415300,0.000900,0.000000,0.017400,58.658200,0.787600,130.550300
10,3,302,906,289798,289798,1159192,302,0,0,302,0,302,0,1.304100,62.674200,1.566400,0.001000,0.000000,0.018600,60.169500,0.844200,139.054000
11,3,302,906,289798,289798,1159192,302,0,0,302,0,302,0,1.301900,63.079000,1.553200,0.001500,0.000000,0.018600,60.712500,0.720200,135.710000
12,3,302,906,435174,435174,1740696,302,0,0,302,0,302,0,1.242000,91.901200,1.443900,0.001500,0.000000,0.016300,88.834800,1.536200,194.426300
13,3,302,906,510257,510257,2041028,302,0,0,302,0,302,0,1.231300,112.719400,1.503000,0.000700,0.000000,0.017000,108.462600,2.661400,229.970900
14,3,302,906,510246,510246,2040984,302,0,0,302,0,302,0,1.247400,111.523800,1.458000,0.000900,0.000000,0.017700,107.895500,2.082800,231.177500
15,3,302,906,504184,504184,2016736,302,0,0,302,0,302,0,1.188300,112.322000,1.377700,0.001400,0.000000,0.016200,108.802600,2.056700,231.360000
16,3,302,906,497597,497597,1990388,302,0,0,302,0,302,0,1.258300,110.310500,1.427900,0.001100,0.000000,0.017000,106.442600,2.351800,225.904500
17,3,302,906,493923,493923,1975692,302,0,0,302,0,302,0,1.130500,110.607500,1.331200,0.000900,0.000000,0.017100,107.246700,1.920800,220.705700
18,3,302,906,493923,493923,1975692,302,0,0,302,0,302,0,1.206800,110.073900,1.519800,0.001000,0.000000,0.017000,106.633200,1.855100,226.855300
19,3,302,906,1667922,1667922,6671688,302,11,0,318,0,318,0,1.164800,345.096400,1.455300,0.001900,0.000000,0.017000,334.599800,8.911300,712.170000
20,3,302,906,1667964,1667964,6671856,302,11,0,318,0,318,0,1.251300,337.715600,1.486400,0.001700,0.000000,0.017800,326.611900,9.466600,729.509100
21,3,302,906,941586,941586,3766344,302,8,4,305,0,305,0,1.197600,207.954400,1.385200,0.001000,0.000000,0.016300,200.778600,5.737400,436.408500
22,3,302,906,941597,941597,3766388,302,8,4,305,0,305,0,1.126500,202.586600,1.402800,0.001000,0.000000,0.016200,196.459800,4.658100,437.534100
23,3,302,906,941597,941597,3766388,302,8,4,305,0,305,0,1.151900,201.483900,1.359900,0.000900,0.000000,0.016300,195.558300,4.492600,424.327100
24,3,302,906,941597,941597,3766388,302,8,4,305,0,305,0,1.159700,211.376600,1.457700,0.001200,0.000000,0.016200,204.862400,4.999300,422.297000
25,3,306,918,941751,941751,3767004,306,8,4,309,0,309,0,1.143700,205.131200,1.386300,0.000900,0.000000,0.016500,199.033800,4.649800,420.716700
26,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.147600,35.787600,1.448700,0.001000,0.000800,0.015200,34.303000,0.000000,69.154700
27,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.130900,35.982500,1.362400,0.001000,0.000800,0.015400,34.587200,0.000000,69.226200
28,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.129000,36.324500,1.364500,0.000900,0.000900,0.015200,34.926700,0.000000,68.225700
29,3,306,918,165950,165950,663800,306,8,4,309,15,294,0,1.213300,35.984400,1.565700,0.000800,0.000800,0.016600,34.384600,0.000000,70.452700
30,3,306,918,165950,165950,663800,306,8,4,309,15,294,0,1.144500,34.594800,1.366700,0.001100,0.000800,0.015500,33.195600,0.000000,68.132400
31,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.113000,35.069200,1.333900,0.001000,0.000700,0.015200,33.702800,0.000000,68.958000
32,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.169700,36.854100,1.375200,0.001200,0.000800,0.015500,35.441300,0.000000,70.402200
33,3,306,918,165950,165950,663800,306,8,4,309,15,294,0,1.249800,34.997300,1.412900,0.001000,0.001000,0.015700,33.550200,0.000000,68.558400
34,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.196700,35.616100,1.449500,0.001200,0.000800,0.016600,34.133200,0.000000,73.043700
35,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.159500,36.390100,1.397400,0.001000,0.000800,0.015700,34.960000,0.000000,70.877100
36,3,306,918,165919,165919,663676,306,8,4,309,15,294,0,1.144900,34.498000,1.351000,0.001000,0.000700,0.021400,33.108200,0.000000,68.931000
37,3,306,918,165919,165919,663676,306,8,4,309,15,294,0,1.121500,36.089700,1.892400,0.001100,0.000800,0.015300,34.162700,0.000000,70.042000
38,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.148200,35.691500,1.373700,0.001100,0.000700,0.015400,34.285500,0.000000,70.679600
