frame,draw_calls,triangles,vertices,rasterized_pixels,fragments,texture_samples,input_triangles,clipped_triangles,clip_discarded_triangles,clip_output_triangles,culled_triangles,raster_input_triangles,degenerate_triangles,vertex_ms,primitive_ms,clip_ms,perspective_division_ms,cull_ms,screen_mapping_ms,raster_ms,perspective_recover_ms,fragment_ms
39,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.285600,34.906900,1.374000,0.001000,0.001000,0.015500,33.502100,0.000000,69.415800
40,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.209700,36.113000,1.491300,0.001500,0.001000,0.015500,34.584400,0.000000,70.789400
41,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.166600,35.949400,1.378900,0.001100,0.001000,0.016500,34.535000,0.000000,72.746200
42,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.366900,35.301500,1.453300,0.001200,0.000900,0.016700,33.813900,0.000000,70.521400
43,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.279100,37.682100,1.462800,0.001200,0.000900,0.016800,36.184200,0.000000,71.613200
44,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.233600,36.067500,1.452700,0.001200,0.000900,0.016500,34.572200,0.000000,72.202500
45,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.202400,35.051100,1.408200,0.001100,0.000900,0.015300,33.610400,0.000000,69.748200
46,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.166300,35.343800,1.350300,0.001000,0.000700,0.015400,33.959900,0.000000,69.887200
47,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.287500,34.388300,1.348400,0.001000,0.000800,0.015400,33.010100,0.000000,68.918500
48,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.179300,34.620700,1.465300,0.001100,0.001000,0.015700,33.121200,0.000000,69.678500
49,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.216900,35.484200,1.471200,0.001100,0.000900,0.015700,33.977200,0.000000,69.743600
50,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.178000,35.066700,1.420900,0.001100,0.000800,0.015300,33.609900,0.000000,69.494700
51,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.169400,35.338900,1.434100,0.001100,0.000800,0.015400,33.871600,0.000000,70.530400
52,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.231100,35.583800,1.409200,0.001300,0.000900,0.015600,34.141100,0.000000,69.166900
53,3,306,918,165972,165972,663888,306,8,4,309,15,294,0,1.305200,37.207000,1.575600,0.001400,0.001400,0.017100,35.596200,0.000000,78.642200
54,3,306,918,165961,165961,663844,306,8,4,309,15,294,0,1.173100,36.743000,1.455900,0.001000,0.000800,0.016600,35.251700,0.000000,70.553800
55,3,302,906,165796,165796,663184,302,8,4,305,15,290,0,1.216400,35.252600,1.361600,0.001000,0.001000,0.015300,33.856100,0.000000,72.251300
56,3,302,906,941608,941608,3766432,302,8,4,305,0,305,0,1.140400,203.452100,1.442800,0.001000,0.000000,0.015900,196.409600,5.535100,428.823500
57,3,302,906,941597,941597,3766388,302,8,4,305,0,305,0,1.214900,204.403600,1.540300,0.001200,0.000000,0.017900,197.340500,5.455900,440.630300
58,3,302,906,941608,941608,3766432,302,8,4,305,0,305,0,1.221200,211.934600,1.367000,0.001100,0.000000,0.016300,204.765400,5.752600,438.955800
59,3,302,906,941608,941608,3766432,302,8,4,305,0,305,0,1.132700,206.112500,1.431100,0.001200,0.000000,0.017000,199.805200,4.824600,422.275800
60,3,302,906,941597,941597,3766388,302,8,4,305,0,305,0,1.279000,218.526300,1.365300,0.001200,0.000000,0.016700,211.815300,5.295900,448.118000
